Rent50_2,Rent50_0,Rent50_1,Rent50_3,Rent50_4,county,State,countyname,CBSASub,Areaname,county_town_name,pop2010,state_alpha
1059,630,783,1319,1742,63,6,Plumas County,NCNTY06063N06063,"Plumas County, CA",Plumas County,20007,CA
570,428,464,840,843,27,21,Breckinridge County,NCNTY21027N21027,"Breckinridge County, KY",Breckinridge County,20059,KY
541,429,452,786,843,89,72,Luquillo Municipio,METRO21940M21940,"Fajardo, PR MSA",Luquillo Municipio,20068,PR
637,510,537,939,1003,67,16,Minidoka County,NCNTY16067N16067,"Minidoka County, ID",Minidoka County,20069,ID
647,523,546,953,1146,153,40,Woodward County,NCNTY40153N40153,"Woodward County, OK",Woodward County,20081,OK
902,617,669,1208,1598,39,27,Dodge County,METRO40340M40340,"Rochester, MN HUD Metro FMR Area",Dodge County,20087,MN
642,471,475,800,931,123,48,DeWitt County,NCNTY48123N48123,"DeWitt County, TX",DeWitt County,20097,TX
630,427,508,873,877,87,19,Henry County,NCNTY19087N19087,"Henry County, IA",Henry County,20145,IA
626,506,528,895,898,15,18,Carroll County,METRO29140N18015,"Carroll County, IN HUD Metro FMR Area",Carroll County,20155,IN
639,516,521,942,968,105,13,Elbert County,NCNTY13105N13105,"Elbert County, GA",Elbert County,20166,GA
1004,737,742,1320,1778,29,24,Kent County,NCNTY24029N24029,"Kent County, MD",Kent County,20197,MD
841,543,624,1065,1358,253,48,Jones County,METRO10180M10180,"Abilene, TX MSA",Jones County,20202,TX
934,556,755,1163,1383,27,25,Worcester County,METRO49340MM2600,"Fitchburg-Leominster, MA HUD Metro FMR Area",Gardner city,20228,MA
838,499,667,1123,1248,177,31,Washington County,METRO36540M36540,"Omaha-Council Bluffs, NE-IA HUD Metro FMR Area",Washington County,20234,NE
649,439,480,808,1149,91,40,McIntosh County,NCNTY40091N40091,"McIntosh County, OK",McIntosh County,20252,OK
630,427,496,793,917,21,19,Buena Vista County,NCNTY19021N19021,"Buena Vista County, IA",Buena Vista County,20260,IA
854,588,716,1064,1225,37,22,East Feliciana Parish,METRO12940M12940,"Baton Rouge, LA HUD Metro FMR Area",East Feliciana Parish,20267,LA
927,556,699,1326,1580,5,23,Cumberland County,METRO38860N23005,"Cumberland County, ME (part) HUD Metro FMR Area",Brunswick town,20278,ME
730,475,616,914,1127,39,53,Klickitat County,NCNTY53039N53039,"Klickitat County, WA",Klickitat County,20318,WA
661,430,489,963,1119,57,27,Hubbard County,NCNTY27057N27057,"Hubbard County, MN",Hubbard County,20428,MN
711,423,526,886,950,53,55,Jackson County,NCNTY55053N55053,"Jackson County, WI",Jackson County,20449,WI
912,576,726,1189,1304,19,48,Bandera County,METRO41700M41700,"San Antonio-New Braunfels, TX HUD Metro FMR Area",Bandera County,20485,TX
1170,749,939,1457,1693,3,9,Hartford County,METRO25540M25540,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Bloomfield town,20486,CT
701,500,518,873,1088,12,4,La Paz County,NCNTY04012N04012,"La Paz County, AZ",La Paz County,20489,AZ
921,548,681,1147,1231,27,35,Lincoln County,NCNTY35027N35027,"Lincoln County, NM",Lincoln County,20497,NM
668,502,505,832,1110,149,37,Polk County,NCNTY37149N37149,"Polk County, NC",Polk County,20510,NC
639,380,472,796,904,141,29,Morgan County,NCNTY29141N29141,"Morgan County, MO",Morgan County,20565,MO
730,453,551,1043,1071,61,55,Kewaunee County,METRO24580M24580,"Green Bay, WI HUD Metro FMR Area",Kewaunee County,20574,WI
684,466,506,852,914,25,28,Clay County,NCNTY28025N28025,"Clay County, MS",Clay County,20634,MS
608,362,449,838,951,105,19,Jones County,METRO16300N19105,"Jones County, IA HUD Metro FMR Area",Jones County,20638,IA
678,478,572,844,1201,139,40,Texas County,NCNTY40139N40139,"Texas County, OK",Texas County,20640,OK
561,431,433,751,754,113,5,Polk County,NCNTY05113N05113,"Polk County, AR",Polk County,20662,AR
1261,843,940,1649,1732,1,25,Barnstable County,METRO12700M12700,"Barnstable Town, MA MSA",Sandwich town,20675,MA
637,379,471,793,851,119,55,Taylor County,NCNTY55119N55119,"Taylor County, WI",Taylor County,20689,WI
671,493,496,914,946,83,22,Richland Parish,NCNTY22083N22083,"Richland Parish, LA",Richland Parish,20725,LA
1692,1124,1362,2107,2622,1,9,Fairfield County,METRO14860MM8040,"Stamford-Norwalk, CT HUD Metro FMR Area",Darien town,20732,CT
907,569,732,1243,1384,49,29,Clinton County,METRO28140M28140,"Kansas City, MO-KS HUD Metro FMR Area",Clinton County,20743,MO
655,446,484,819,1160,153,28,Wayne County,NCNTY28153N28153,"Wayne County, MS",Wayne County,20747,MS
772,459,651,990,1285,115,37,Madison County,METRO11700M11700,"Asheville, NC HUD Metro FMR Area",Madison County,20764,NC
659,484,487,857,881,41,22,Franklin Parish,NCNTY22041N22041,"Franklin Parish, LA",Franklin Parish,20767,LA
650,502,544,877,1055,45,72,Comerío Municipio,METRO41980MM7440,"San Juan-Guaynabo, PR HUD Metro FMR Area",Comerío Municipio,20778,PR
1138,768,895,1559,1627,15,33,Rockingham County,METRO14460MM6450,"Portsmouth-Rochester, NH HUD Metro FMR Area",Portsmouth city,20779,NH
772,459,571,961,1032,155,31,Saunders County,METRO36540N31155,"Saunders County, NE HUD Metro FMR Area",Saunders County,20780,NE
918,627,725,1246,1290,31,23,York County,METRO38860N23031,"York County, ME (part) HUD Metro FMR Area",Sanford town,20798,ME
666,506,562,861,1029,41,49,Sevier County,NCNTY49041N49041,"Sevier County, UT",Sevier County,20802,UT
565,425,439,704,792,231,21,Wayne County,NCNTY21231N21231,"Wayne County, KY",Wayne County,20813,KY
598,473,476,745,854,27,19,Carroll County,NCNTY19027N19027,"Carroll County, IA",Carroll County,20816,IA
637,468,471,939,942,29,22,Concordia Parish,NCNTY22029N22029,"Concordia Parish, LA",Concordia Parish,20822,LA
681,444,545,848,910,49,18,Fulton County,NCNTY18049N18049,"Fulton County, IN",Fulton County,20836,IN
723,430,534,900,1118,91,27,Martin County,NCNTY27091N27091,"Martin County, MN",Martin County,20840,MN
637,515,535,915,982,45,27,Fillmore County,NCNTY27045N27045,"Fillmore County, MN",Fillmore County,20866,MN
682,447,504,979,1207,89,48,Colorado County,NCNTY48089N48089,"Colorado County, TX",Colorado County,20874,TX
687,436,579,930,1073,1,55,Adams County,NCNTY55001N55001,"Adams County, WI",Adams County,20875,WI
579,361,487,744,783,65,19,Fayette County,NCNTY19065N19065,"Fayette County, IA",Fayette County,20880,IA
736,438,594,985,1152,49,53,Pacific County,NCNTY53049N53049,"Pacific County, WA",Pacific County,20920,WA
566,428,431,822,844,13,1,Butler County,NCNTY01013N01013,"Butler County, AL",Butler County,20947,AL
630,375,466,785,842,147,18,Spencer County,NCNTY18147N18147,"Spencer County, IN",Spencer County,20952,IN
609,455,458,789,988,19,19,Buchanan County,NCNTY19019N19019,"Buchanan County, IA",Buchanan County,20958,IA
637,396,484,939,1128,185,37,Warren County,NCNTY37185N37185,"Warren County, NC",Warren County,20972,NC
712,447,577,1049,1219,13,41,Crook County,NCNTY41013N41013,"Crook County, OR",Crook County,20978,OR
747,444,580,981,1102,43,31,Dakota County,METRO43580M43580,"Sioux City, IA-NE-SD MSA",Dakota County,21006,NE
762,488,603,1005,1333,820,51,Waynesboro city,NCNTY51015N51015,"Augusta County-Staunton city-Waynesboro city, VA HUD Nonmetro FMR Area",Waynesboro city,21006,VA
595,471,474,791,795,91,1,Marengo County,NCNTY01091N01091,"Marengo County, AL",Marengo County,21027,AL
599,440,443,783,1061,191,19,Winneshiek County,NCNTY19191N19191,"Winneshiek County, IA",Winneshiek County,21056,IA
634,465,469,798,847,49,45,Hampton County,NCNTY45049N45049,"Hampton County, SC",Hampton County,21090,SC
713,538,541,888,1169,93,38,Stutsman County,NCNTY38093N38093,"Stutsman County, ND",Stutsman County,21100,ND
1009,673,807,1260,1435,13,25,Hampden County,METRO44140M44140,"Springfield, MA HUD Metro FMR Area",Ludlow town,21103,MA
984,715,806,1226,1467,7,44,Providence County,METRO39300M39300,"Providence-Fall River, RI-MA HUD Metro FMR Area",Lincoln town,21105,RI
686,512,515,960,1144,41,56,Uinta County,NCNTY56041N56041,"Uinta County, WY",Uinta County,21118,WY
685,428,506,906,915,217,29,Vernon County,NCNTY29217N29217,"Vernon County, MO",Vernon County,21159,MO
