PRIM_STATE,AREA,AREA_NAME,OCC_TITLE,A_MEAN,Rent50_3,Ratio
IA,47941,"Waterloo-Cedar Falls, IA",Composite titles,"134,897",1022,9.09%
CA,42101,"Santa Cruz-Watsonville, CA",Composite titles,"95,128",883,11.14%
WA,14741,"Bremerton-Silverdale, WA",Composite titles,"100,092",932,11.17%
WV,48541,"Wheeling, WV-OH",Composite titles,"83,184",788,11.37%
FL,18881,"Crestview-Fort Walton Beach-Destin, FL",Composite titles,"93,830",913,11.68%
CO,17821,"Colorado Springs, CO",Composite titles,"98,416",979,11.94%
CA,12541,"Bakersfield-Delano, CA",Composite titles,"100,525",1012,12.08%
NC,25861,"Hickory-Lenoir-Morganton, NC",Composite titles,"82,184",836,12.21%
WA,13381,"Bellingham, WA",Composite titles,"77,884",793,12.22%
AL,26621,"Huntsville, AL",Composite titles,"98,537",1015,12.36%
VA,31341,"Lynchburg, VA",Composite titles,"86,840",897,12.40%
IN,29021,"Kokomo, IN",Composite titles,"91,483",947,12.42%
NY,13781,"Binghamton, NY",Composite titles,"97,554",1042,12.82%
KY,21061,"Elizabethtown, KY",Composite titles,"86,224",934,13.00%
IL,16581,"Champaign-Urbana, IL",Composite titles,"84,468",937,13.31%
IL,29405,"Lake County-Kenosha County, IL-WI Metropolitan Division",Composite titles,"85,609",954,13.37%
OR,18701,"Corvallis, OR",Composite titles,"88,708",1002,13.55%
ID,17661,"Coeur d'Alene, ID",Composite titles,"74,842",852,13.66%
GA,10501,"Albany, GA",Composite titles,"92,206",1050,13.67%
TN,28701,"Kingsport-Bristol-Bristol, TN-VA",Composite titles,"73,924",848,13.77%
PA,48701,"Williamsport, PA",Composite titles,"81,181",935,13.82%
NC,20501,"Durham-Chapel Hill, NC",Composite titles,"100,888",1162,13.82%
TN,27741,"Johnson City, TN",Composite titles,"80,884",934,13.86%
WI,48141,"Wausau, WI",Composite titles,"85,173",990,13.95%
OH,49661,"Youngstown-Warren-Boardman, OH-PA",Composite titles,"73,719",865,14.08%
WA,28421,"Kennewick-Pasco-Richland, WA",Composite titles,"89,164",1056,14.21%
WI,29101,"La Crosse, WI-MN",Composite titles,"86,792",1025,14.17%
VA,40221,"Roanoke, VA",Composite titles,"84,420",1005,14.29%
IN,23061,"Fort Wayne, IN",Composite titles,"74,958",905,14.49%
MA,79601,"Worcester, MA-CT",Composite titles,"103,130",1258,14.64%
MT,13741,"Billings, MT",Composite titles,"70,963",870,14.71%
FL,15981,"Cape Coral-Fort Myers, FL",Composite titles,"75,071",923,14.75%
IA,43581,"Sioux City, IA-NE-SD",Composite titles,"79,594",981,14.79%
MN,20261,"Duluth, MN-WI",Composite titles,"78,604",971,14.82%
NC,24661,"Greensboro-High Point, NC",Composite titles,"83,503",1034,14.86%
MI,11461,"Ann Arbor, MI",Composite titles,"79,221",991,15.01%
NC,16741,"Charlotte-Gastonia-Rock Hill, NC-SC",Composite titles,"93,151",1168,15.05%
NC,39581,"Raleigh-Cary, NC",Composite titles,"93,010",1167,15.06%
PA,42541,"Scranton--Wilkes-Barre, PA",Composite titles,"74,806",942,15.11%
NY,15381,"Buffalo-Niagara Falls, NY",Composite titles,"76,525",965,15.13%
TX,47381,"Waco, TX",Composite titles,"83,216",1052,15.17%
AL,33861,"Montgomery, AL",Composite titles,"82,656",1046,15.19%
NE,30701,"Lincoln, NE",Composite titles,"66,314",842,15.24%
TN,17421,"Cleveland, TN",Composite titles,"84,485",1073,15.24%
PA,27781,"Johnstown, PA",Composite titles,"66,489",845,15.25%
OH,44221,"Springfield, OH",Composite titles,"78,720",1003,15.29%
MN,40341,"Rochester, MN",Composite titles,"94,736",1208,15.30%
IN,18021,"Columbus, IN",Composite titles,"82,445",1053,15.33%
SC,24861,"Greenville-Mauldin-Easley, SC",Composite titles,"81,464",1041,15.33%
TX,23105,"Fort Worth-Arlington, TX Metropolitan Division",Composite titles,"98,336",1258,15.35%
SC,22501,"Florence, SC",Composite titles,"67,365",862,15.36%
WY,16941,"Cheyenne, WY",Composite titles,"68,454",876,15.36%
IL,37901,"Peoria, IL",Composite titles,"77,854",997,15.37%
MO,41181,"St. Louis, MO-IL",Composite titles,"88,186",1131,15.39%
NJ,20765,"Edison-New Brunswick, NJ Metropolitan Division",Composite titles,"98,421",1263,15.40%
TX,41701,"San Antonio-New Braunfels, TX",Composite titles,"92,387",1189,15.44%
AL,13821,"Birmingham-Hoover, AL",Composite titles,"82,659",1065,15.46%
OH,19381,"Dayton, OH",Composite titles,"78,841",1017,15.48%
GA,47581,"Warner Robins, GA",Composite titles,"80,074",1035,15.51%
IA,16301,"Cedar Rapids, IA",Composite titles,"78,601",1016,15.51%
UT,39341,"Provo-Orem, UT",Composite titles,"85,071",1102,15.54%
NY,45061,"Syracuse, NY",Composite titles,"85,651",1111,15.57%
OH,10421,"Akron, OH",Composite titles,"80,172",1040,15.57%
MO,27901,"Joplin, MO",Composite titles,"69,025",896,15.58%
NJ,12101,"Atlantic City-Hammonton, NJ",Composite titles,97062,1263,15.61%
SC,43901,"Spartanburg, SC",Composite titles,"74,068",964,15.62%
KS,48621,"Wichita, KS",Composite titles,"83,995",1094,15.63%
AR,22221,"Fayetteville-Springdale-Rogers, AR-MO",Composite titles,"82,764",1080,15.66%
IN,21781,"Evansville, IN-KY",Composite titles,"76,643",1003,15.70%
RI,77201,"Providence-Fall River-Warwick, RI-MA",Composite titles,"93,250",1226,15.78%
MS,27141,"Jackson, MS",Composite titles,"78,309",1030,15.78%
WI,43101,"Sheboygan, WI",Composite titles,"75,852",999,15.80%
TX,32581,"McAllen-Edinburg-Mission, TX",Composite titles,"66,640",878,15.81%
GA,17981,"Columbus, GA-AL",Composite titles,"79,676",1053,15.86%
TX,26421,"Houston-Sugar Land-Baytown, TX",Composite titles,"95,607",1264,15.86%
IA,19341,"Davenport-Moline-Rock Island, IA-IL",Composite titles,"73,778",976,15.87%
GA,12261,"Augusta-Richmond County, GA-SC",Composite titles,"80,149",1061,15.89%
OH,18141,"Columbus, OH",Composite titles,"87,723",1164,15.92%
NC,49181,"Winston-Salem, NC",Composite titles,"80,334",1066,15.92%
NM,29741,"Las Cruces, NM",Composite titles,"84,405",1123,15.97%
TX,28661,"Killeen-Temple-Fort Hood, TX",Composite titles,"87,453",1164,15.97%
NY,46541,"Utica-Rome, NY",Composite titles,"82,505",1105,16.07%
GA,12061,"Atlanta-Sandy Springs-Marietta, GA",Composite titles,"94,277",1263,16.08%
AK,11261,"Anchorage, AK",Composite titles,"79,389",1065,16.10%
CA,23421,"Fresno, CA",Composite titles,"91,940",1234,16.11%
CT,78701,"Waterbury, CT",Composite titles,"94,405",1268,16.12%
VT,72401,"Burlington-South Burlington, VT",Composite titles,78022,1051,16.16%
MO,27621,"Jefferson City, MO",Composite titles,"70,623",955,16.23%
MI,19805,"Detroit-Livonia-Dearborn, MI Metropolitan Division",Composite titles,"89,050",1206,16.25%
PA,38301,"Pittsburgh, PA",Composite titles,"78,651",1069,16.31%
NC,22181,"Fayetteville, NC",Composite titles,"86,733",1181,16.34%
OH,17141,"Cincinnati-Middletown, OH-KY-IN",Composite titles,"79,585",1086,16.37%
WV,26581,"Huntington-Ashland, WV-KY-OH",Composite titles,"66,195",906,16.42%
IA,19781,"Des Moines-West Des Moines, IA",Composite titles,"83,211",1140,16.44%
IN,26901,"Indianapolis-Carmel, IN",Composite titles,"80,379",1104,16.48%
WI,24581,"Green Bay, WI",Composite titles,"75,717",1043,16.53%
NY,10581,"Albany-Schenectady-Troy, NY",Composite titles,"80,957",1116,16.54%
NM,10741,"Albuquerque, NM",Composite titles,"89,154",1229,16.54%
WI,36781,"Oshkosh-Neenah, WI",Composite titles,"65,710",907,16.56%
IN,34621,"Muncie, IN",Composite titles,"66,645",920,16.57%
