PRIM_STATE,AREA,AREA_NAME,OCC_TITLE,A_MEAN,Rent50_3,Ratio
IA,47941,"Waterloo-Cedar Falls, IA",Composite titles,134897,1022,0.0909138083
CA,42101,"Santa Cruz-Watsonville, CA",Composite titles,95128,883,0.1113867631
WA,14741,"Bremerton-Silverdale, WA",Composite titles,100092,932,0.1117372018
WV,48541,"Wheeling, WV-OH",Composite titles,83184,788,0.1136757069
FL,18881,"Crestview-Fort Walton Beach-Destin, FL",Composite titles,93830,913,0.1167643611
CO,17821,"Colorado Springs, CO",Composite titles,98416,979,0.119370834
CA,12541,"Bakersfield-Delano, CA",Composite titles,100525,1012,0.1208057697
NC,25861,"Hickory-Lenoir-Morganton, NC",Composite titles,82184,836,0.1220675557
WA,13381,"Bellingham, WA",Composite titles,77884,793,0.1221817061
AL,26621,"Huntsville, AL",Composite titles,98537,1015,0.1236083908
VA,31341,"Lynchburg, VA",Composite titles,86840,897,0.1239520958
IN,29021,"Kokomo, IN",Composite titles,91483,947,0.1242198004
NY,13781,"Binghamton, NY",Composite titles,97554,1042,0.1281751645
KY,21061,"Elizabethtown, KY",Composite titles,86224,934,0.1299870106
IL,16581,"Champaign-Urbana, IL",Composite titles,84468,937,0.1331154994
IL,29405,"Lake County-Kenosha County, IL-WI Metropolitan Division",Composite titles,85609,954,0.133724258
OR,18701,"Corvallis, OR",Composite titles,88708,1002,0.1355458358
ID,17661,"Coeur d'Alene, ID",Composite titles,74842,852,0.1366077871
GA,10501,"Albany, GA",Composite titles,92206,1050,0.1366505433
TN,28701,"Kingsport-Bristol-Bristol, TN-VA",Composite titles,73924,848,0.1376548888
PA,48701,"Williamsport, PA",Composite titles,81181,935,0.1382096796
NC,20501,"Durham-Chapel Hill, NC",Composite titles,100888,1162,0.1382126715
TN,27741,"Johnson City, TN",Composite titles,80884,934,0.1385688146
WI,48141,"Wausau, WI",Composite titles,85173,990,0.1394808214
OH,49661,"Youngstown-Warren-Boardman, OH-PA",Composite titles,73719,865,0.1408049485
WA,28421,"Kennewick-Pasco-Richland, WA",Composite titles,89164,1056,0.1421201382
WI,29101,"La Crosse, WI-MN",Composite titles,86792,1025,0.1417181307
VA,40221,"Roanoke, VA",Composite titles,84420,1005,0.1428571429
IN,23061,"Fort Wayne, IN",Composite titles,74958,905,0.1448811334
MA,79601,"Worcester, MA-CT",Composite titles,103130,1258,0.1463783574
MT,13741,"Billings, MT",Composite titles,70963,870,0.1471189211
FL,15981,"Cape Coral-Fort Myers, FL",Composite titles,75071,923,0.1475403285
IA,43581,"Sioux City, IA-NE-SD",Composite titles,79594,981,0.1479005955
MN,20261,"Duluth, MN-WI",Composite titles,78604,971,0.148236731
NC,24661,"Greensboro-High Point, NC",Composite titles,83503,1034,0.1485934637
MI,11461,"Ann Arbor, MI",Composite titles,79221,991,0.1501117128
NC,16741,"Charlotte-Gastonia-Rock Hill, NC-SC",Composite titles,93151,1168,0.1504653734
NC,39581,"Raleigh-Cary, NC",Composite titles,93010,1167,0.1505644554
PA,42541,"Scranton--Wilkes-Barre, PA",Composite titles,74806,942,0.1511108735
NY,15381,"Buffalo-Niagara Falls, NY",Composite titles,76525,965,0.151323097
TX,47381,"Waco, TX",Composite titles,83216,1052,0.1517015958
AL,33861,"Montgomery, AL",Composite titles,82656,1046,0.1518583043
NE,30701,"Lincoln, NE",Composite titles,66314,842,0.1523660162
TN,17421,"Cleveland, TN",Composite titles,84485,1073,0.1524057525
PA,27781,"Johnstown, PA",Composite titles,66489,845,0.1525064296
OH,44221,"Springfield, OH",Composite titles,78720,1003,0.1528963415
MN,40341,"Rochester, MN",Composite titles,94736,1208,0.1530146935
IN,18021,"Columbus, IN",Composite titles,82445,1053,0.1532658136
SC,24861,"Greenville-Mauldin-Easley, SC",Composite titles,81464,1041,0.1533438083
TX,23105,"Fort Worth-Arlington, TX Metropolitan Division",Composite titles,98336,1258,0.153514481
SC,22501,"Florence, SC",Composite titles,67365,862,0.1535515475
WY,16941,"Cheyenne, WY",Composite titles,68454,876,0.1535629766
IL,37901,"Peoria, IL",Composite titles,77854,997,0.1536722583
MO,41181,"St. Louis, MO-IL",Composite titles,88186,1131,0.1539019799
NJ,20765,"Edison-New Brunswick, NJ Metropolitan Division",Composite titles,98421,1263,0.1539915262
TX,41701,"San Antonio-New Braunfels, TX",Composite titles,92387,1189,0.1544373126
AL,13821,"Birmingham-Hoover, AL",Composite titles,82659,1065,0.1546111131
OH,19381,"Dayton, OH",Composite titles,78841,1017,0.1547925572
GA,47581,"Warner Robins, GA",Composite titles,80074,1035,0.1551065265
IA,16301,"Cedar Rapids, IA",Composite titles,78601,1016,0.1551125304
UT,39341,"Provo-Orem, UT",Composite titles,85071,1102,0.1554466269
NY,45061,"Syracuse, NY",Composite titles,85651,1111,0.1556549252
OH,10421,"Akron, OH",Composite titles,80172,1040,0.1556653196
MO,27901,"Joplin, MO",Composite titles,69025,896,0.1557696487
NJ,12101,"Atlantic City-Hammonton, NJ",Composite titles,97062,1263,0.156147617
SC,43901,"Spartanburg, SC",Composite titles,74068,964,0.1561808068
KS,48621,"Wichita, KS",Composite titles,83995,1094,0.1562950176
AR,22221,"Fayetteville-Springdale-Rogers, AR-MO",Composite titles,82764,1080,0.1565898217
IN,21781,"Evansville, IN-KY",Composite titles,76643,1003,0.1570397818
RI,77201,"Providence-Fall River-Warwick, RI-MA",Composite titles,93250,1226,0.157769437
MS,27141,"Jackson, MS",Composite titles,78309,1030,0.157836264
WI,43101,"Sheboygan, WI",Composite titles,75852,999,0.1580446132
TX,32581,"McAllen-Edinburg-Mission, TX",Composite titles,66640,878,0.1581032413
GA,17981,"Columbus, GA-AL",Composite titles,79676,1053,0.1585922988
TX,26421,"Houston-Sugar Land-Baytown, TX",Composite titles,95607,1264,0.1586494713
IA,19341,"Davenport-Moline-Rock Island, IA-IL",Composite titles,73778,976,0.1587465098
GA,12261,"Augusta-Richmond County, GA-SC",Composite titles,80149,1061,0.1588541342
OH,18141,"Columbus, OH",Composite titles,87723,1164,0.1592284806
NC,49181,"Winston-Salem, NC",Composite titles,80334,1066,0.1592351931
NM,29741,"Las Cruces, NM",Composite titles,84405,1123,0.159658788
TX,28661,"Killeen-Temple-Fort Hood, TX",Composite titles,87453,1164,0.1597200782
NY,46541,"Utica-Rome, NY",Composite titles,82505,1105,0.1607175323
GA,12061,"Atlanta-Sandy Springs-Marietta, GA",Composite titles,94277,1263,0.1607603127
AK,11261,"Anchorage, AK",Composite titles,79389,1065,0.1609794808
CA,23421,"Fresno, CA",Composite titles,91940,1234,0.1610615619
CT,78701,"Waterbury, CT",Composite titles,94405,1268,0.1611779037
VT,72401,"Burlington-South Burlington, VT",Composite titles,78022,1051,0.161646715
MO,27621,"Jefferson City, MO",Composite titles,70623,955,0.162270082
MI,19805,"Detroit-Livonia-Dearborn, MI Metropolitan Division",Composite titles,89050,1206,0.1625154408
PA,38301,"Pittsburgh, PA",Composite titles,78651,1069,0.1631002784
NC,22181,"Fayetteville, NC",Composite titles,86733,1181,0.1633980146
OH,17141,"Cincinnati-Middletown, OH-KY-IN",Composite titles,79585,1086,0.1637494503
WV,26581,"Huntington-Ashland, WV-KY-OH",Composite titles,66195,906,0.1642420122
IA,19781,"Des Moines-West Des Moines, IA",Composite titles,83211,1140,0.1644013412
IN,26901,"Indianapolis-Carmel, IN",Composite titles,80379,1104,0.1648191692
WI,24581,"Green Bay, WI",Composite titles,75717,1043,0.1652997345
NY,10581,"Albany-Schenectady-Troy, NY",Composite titles,80957,1116,0.1654211495
NM,10741,"Albuquerque, NM",Composite titles,89154,1229,0.16542163
WI,36781,"Oshkosh-Neenah, WI",Composite titles,65710,907,0.1656368894
IN,34621,"Muncie, IN",Composite titles,66645,920,0.1656538375
NE,36541,"Omaha-Council Bluffs, NE-IA",Composite titles,81093,1123,0.1661795716
MI,28021,"Kalamazoo-Portage, MI",Composite titles,72157,1000,0.1663040315
VA,25501,"Harrisonburg, VA",Composite titles,71947,1000,0.1667894422
OK,36421,"Oklahoma City, OK",Composite titles,75537,1054,0.1674411216
TX,19125,"Dallas-Plano-Irving, TX Metropolitan Division",Composite titles,93222,1302,0.1675999228
WI,39541,"Racine, WI",Composite titles,74345,1039,0.1677046204
WI,33341,"Milwaukee-Waukesha-West Allis, WI",Composite titles,78469,1100,0.1682192968
NY,40381,"Rochester, NY",Composite titles,79261,1112,0.168355181
OR,13461,"Bend, OR",Composite titles,70351,992,0.1692086822
IL,44101,"Springfield, IL",Composite titles,73041,1036,0.1702057748
MI,22421,"Flint, MI",Composite titles,69652,988,0.1702176535
TN,28941,"Knoxville, TN",Composite titles,77545,1101,0.1703784899
MI,26101,"Holland-Grand Haven, MI",Composite titles,80793,1149,0.1706583491
OH,45781,"Toledo, OH",Composite titles,68320,972,0.1707259953
PA,39741,"Reading, PA",Composite titles,80268,1143,0.1708775602
IL,40421,"Rockford, IL",Composite titles,76430,1089,0.1709799817
NC,11701,"Asheville, NC",Composite titles,69401,990,0.1711790896
IN,43781,"South Bend-Mishawaka, IN-MI",Composite titles,66954,957,0.1715207456
MA,74205,"Lawrence-Methuen-Salem, MA-NH NECTA Division",Composite titles,101035,1448,0.1719800069
IN,29141,"Lafayette, IN",Composite titles,74780,1072,0.1720246055
MI,29621,"Lansing-East Lansing, MI",Composite titles,75942,1089,0.1720786916
IN,23845,"Gary, IN Metropolitan Division",Composite titles,74509,1070,0.1723281751
MA,78255,"Taunton-Norton-Raynham, MA NECTA Division",Composite titles,97822,1405,0.1723538672
KY,31141,"Louisville-Jefferson County, KY-IN",Composite titles,72748,1045,0.1723758729
OH,17461,"Cleveland-Elyria-Mentor, OH",Composite titles,74689,1073,0.172394864
FL,37341,"Palm Bay-Melbourne-Titusville, FL",Composite titles,87661,1260,0.172482632
TX,13141,"Beaumont-Port Arthur, TX",Composite titles,80148,1155,0.1729300794
